league_id,league_name,country_name,competition_type
CIT,italy-cup,Italy,domestic_cup
NLSC,johan-cruijff-schaal,Netherlands,other
GRP,kypello-elladas,Greece,domestic_cup
POSU,supertaca-candido-de-oliveira,Portugal,other
RUSS,russian-super-cup,Russia,other
SUC,supercopa,Spain,other
USC,uefa-super-cup,,international_cup
DK1,superligaen,Denmark,domestic_league
EL,europa-league,,international_cup
ES1,laliga,Spain,domestic_league
FR1,ligue-1,France,domestic_league
IT1,serie-a,Italy,domestic_league
NL1,eredivisie,Netherlands,domestic_league
RUP,russian-cup,Russia,domestic_cup
PO1,liga-portugal-bwin,Portugal,domestic_league
BESC,belgian-supercup,Belgium,other
GB1,premier-league,England,domestic_league
UCOL,uefa-conference-league,,international_cup
ELQ,europa-league-qualifikation,,international_cup
CGB,efl-cup,England,other
DKP,sydbank-pokalen,Denmark,domestic_cup
ECLQ,uefa-europa-conference-league-qualifikation,,international_cup
FAC,fa-cup,England,domestic_cup
NLP,toto-knvb-beker,Netherlands,domestic_cup
UKRS,ukrainian-super-cup,Ukraine,other
UKR1,premier-liga,Ukraine,domestic_league
CDR,copa-del-rey,Spain,domestic_cup
CL,uefa-champions-league,,international_cup
GR1,super-league-1,Greece,domestic_league
TR1,super-lig,Turkey,domestic_league
POCP,allianz-cup,Portugal,domestic_cup
GBCS,community-shield,England,other
KLUB,fifa-klub-wm,,other
L1,bundesliga,Germany,domestic_league
RU1,premier-liga,Russia,domestic_league
SC1,scottish-premiership,Scotland,domestic_league
SCI,supercoppa-italiana,Italy,other
BE1,jupiler-pro-league,Belgium,domestic_league
CLQ,uefa-champions-league-qualifikation,,international_cup
DFL,dfl-supercup,Germany,other
SFA,sfa-cup,Scotland,domestic_cup
UKRP,ukrainian-cup,Ukraine,domestic_cup
DFB,dfb-pokal,Germany,domestic_cup
FRCH,trophee-des-champions,France,other
