player_id,total_appearances,total_goals,total_assists,total_minutes,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90
10,136,48,25,8808,19,0,0.49,0.255
26,152,0,0,13508,4,2,0.0,0.0
65,122,38,13,8788,11,1,0.389,0.133
77,4,0,0,307,0,0,0.0,0.0
80,12,0,0,1080,0,0,0.0,0.0
109,41,1,2,3584,4,0,0.025,0.05
123,7,0,1,427,0,0,0.0,0.211
132,77,9,4,3987,13,0,0.203,0.09
215,109,26,8,6038,3,0,0.388,0.119
258,19,0,2,1075,2,0,0.0,0.167
264,24,2,3,1227,1,0,0.147,0.22
276,6,0,0,232,0,0,0.0,0.0
277,66,5,4,4746,15,0,0.095,0.076
299,30,0,5,2510,10,0,0.0,0.179
325,2,0,0,180,0,0,0.0,0.0
332,7,0,0,76,0,0,0.0,0.0
410,93,3,6,6590,11,0,0.041,0.082
411,15,1,0,1061,2,0,0.085,0.0
447,9,0,0,766,0,0,0.0,0.0
488,38,0,0,3198,2,0,0.0,0.0
532,187,53,24,6789,6,0,0.703,0.318
557,7,0,0,630,0,0,0.0,0.0
568,100,8,0,8607,18,1,0.084,0.0
597,76,4,13,5014,4,0,0.072,0.233
598,50,0,0,4500,1,0,0.0,0.0
670,9,0,2,225,0,0,0.0,0.8
690,3,1,0,65,0,0,1.385,0.0
691,116,12,8,8123,10,1,0.133,0.089
735,11,0,1,669,1,0,0.0,0.135
755,37,1,0,2903,6,0,0.031,0.0
773,5,0,0,279,0,0,0.0,0.0
823,49,1,2,4022,9,0,0.022,0.045
831,8,0,0,268,1,0,0.0,0.0
837,32,3,3,2524,7,0,0.107,0.107
886,18,2,0,1601,5,0,0.112,0.0
892,15,0,0,1305,1,0,0.0,0.0
933,111,6,7,8615,27,0,0.063,0.073
992,1,0,0,90,0,0,0.0,0.0
1073,33,3,2,2225,5,0,0.121,0.081
1075,28,7,3,1584,2,0,0.398,0.17
1083,28,1,2,2302,8,0,0.039,0.078
1094,39,1,2,2942,12,0,0.031,0.061
1095,3,0,1,122,0,0,0.0,0.738
